location,sentence 1,sentence 2,sentence 3,sentence 4,sentence 5,relevance_score_1,relevance_score_2,relevance_score_3,relevance_score_4,relevance_score_5,location_relevance_score
Australia,"In Australia, Australians have more than twice the amount of sex offenders as men.",The number of people who are on probation for sexually abusing children in Australia has nearly tripled since the 1990s.,"In 2000, more than 2.8 million children under the age of 16 were under the age of 16.",The number of sex offenders has nearly quadrupled since the 1990s.,Australia is the only country in the world where the number of sexual offences against children has increased by more than 50 per cent.,0.9976345896720886,0.9963346123695374,0.3536490499973297,0.361286461353302,0.9976992011070251,0.7413207828998566
Austria,Austria is not a member of the European Union.,Austria is a member of the European Economic Area.,Austria has no right to make a decision on its own.,It is a vote on whether to join the European Union.,Austria is a member of the European Economic.,0.7874133586883545,0.9943069815635681,0.9937488436698914,0.6770535707473755,0.9938602447509766,0.8892765998840332
Baku,The world is really small.,The world is really huge.,The world is really big and complicated.,The world is not the way we want it to be.,The world is the way we want it to be.,0.26926499605178833,0.1866326481103897,0.27681589126586914,0.3856656849384308,0.500214159488678,0.3237186759710312
Baltimore,I'm not telling you to go to jail.,I'm telling you to go to jail because I love Baltimore.,I love the city and I love the people of Baltimore.,I'll leave it to the reader to decide.,I'm not telling you to go to jail.,0.1326708197593689,0.9980384111404419,0.9962300062179565,0.32444217801094055,0.1326708197593689,0.5168104469776154
Bangladesh,A.,The first two years of the Bangladesh government's occupation of the country were very difficult.,"In the first two years of the government's occupation of the country, the country was a very poor country.",The country is a poor country because of the fact that you have a large Muslim population.,The country has been a very poor country for many years and the government did not give a damn about it.,0.6647254228591919,0.9967674612998962,0.8274904489517212,0.8553743362426758,0.7223443388938904,0.8133404016494751
Barcelona,"""This is a team with a proven pedigree and no doubts about the future.""

1.",The team that won the European Champions League last season.,The team that won the League Cup last season.,The team that made the Champions League last season.,The team that made the Champions League last season.,0.7360029220581055,0.9569034576416016,0.5011289715766907,0.8222370743751526,0.8222370743751526,0.7677019000053406
Basel,"Basel was a world-famous mathematician, but his career as a mathematician was limited by his time at Geneva University in Switzerland.",He had only four years of mathematical experience under his belt and had no formal training in mathematics.,"He worked on computers, computer science, and machine learning.",His first major job was to write a paper on the new computer code for the new computer.,He also wrote a few computer code programs on the C compiler.,0.9940913319587708,0.6388862133026123,0.8273985385894775,0.6544250249862671,0.6776902675628662,0.7584982752799988
Beijing,The Chinese government is the world's most powerful power.,"That is, it has a huge financial and military presence in the region.","It has the world's largest naval and air force, and it is home to the world's largest military base, the People's Liberation Army.",The Chinese government has over $100 trillion in assets.,"This includes its military, the National People's Congress, and the People's Daily.",0.9946569800376892,0.9061442017555237,0.9835174679756165,0.9871708154678345,0.9716789722442627,0.9686336874961853
Beirut,"The Lebanese are a ""peaceful"" nation.",They are committed to a non-sectarian constitution.,They are not a sectarian nation.,They do not believe in an Israel-Palestine.,They do not believe in an end to Israel.,0.9914728999137878,0.5915811061859131,0.23100680112838745,0.41713374853134155,0.43440526723861694,0.5331199645996094
Belgium,"Belgium is a nation of people and not a nation of nations

Belgium is a nation of people and not a nation of nations.",It is a country of people and not a nation of nations.,It is a country of people and not a nation of nations.,It is a country of people and not a nation of nations.,It is a country of people and not a nation of nations.,0.9893437027931213,0.43672746419906616,0.43672746419906616,0.43672746419906616,0.43672746419906616,0.5472507119178772
Berlin,"When Berlin was divided into three city districts (Munich, Stuttgart and Königsberg), the district boundaries were the same for all three districts.",The Germans didn't have enough land to plant crops for the entire city and so they settled in a place called 'Bilderberg'.,"(Note: This is in the same town as the place where the German soldiers were stationed on the first day of the war.)

The first city district was occupied by the Germans after the war.",Berlin was then a part of the Third Reich and it had no land to plant crops for the whole city.,The second city district.,0.9932141900062561,0.7355210185050964,0.6196247339248657,0.9962220788002014,0.8918629288673401,0.847288990020752
Bern,"Bern was actually a mathematician, not a computer scientist.",Bern's first two books were his own.,"Bern and his son, Thomas, were both members of the famous German school of theoretical physics.","Bern's mother, Barbara Bern, was an English professor of physics at Cambridge and later professor of mathematics at the University of Edinburgh.",Bern has no formal qualifications.,0.9247084856033325,0.9952290654182434,0.9959608316421509,0.9957433938980103,0.9765996336936951,0.9776482820510864
Bhutan,"""The country is in a state of serious decline.""

The next time you read a Bhutanese comment or blog post or article, try not to look at it as if you don't understand it.","It's important to understand that Bhutan is not some kind of landlocked country, just some kind of mountain.","It's not even a country of the East or North, just some sort of mountainous country.","It's a whole country of people living together in harmony, as it were.",It's not even a country of the people living in the countryside.,0.9956161379814148,0.9814821481704712,0.07988665997982025,0.8750396966934204,0.04523225873708725,0.5954513803124428
Bihar,The former's government is a mere six years old.,"Second, the BJP has only six years of a BJP and it is in a state where there is no BJP.","In these six years, the BJP has only one Congress member.","Third, the Congress is not a party and does not have any government.","Fourth, it has not been a party.",0.55427086353302,0.23284129798412323,0.5072747468948364,0.270439475774765,0.1752665787935257,0.34801859259605405
Birmingham,"The Birmingham Police Department is a ""super-violent crime syndicate"" with a population of nearly 900,000.","The Birmingham Police Department has over 200,000 members in the United States.","The Birmingham Police Department is not a ""super-violent crime syndicate"" with a population of nearly 900,000.","The Birmingham Police Department has over 200,000 members in the United States.","The Birmingham Police Department is not a ""super-violent crime syndicate"" with a population of nearly 900,000.",0.9977915287017822,0.9966245889663696,0.9932689070701599,0.9966245889663696,0.9932689070701599,0.9955157041549683
Bohemia,"Bohemia is a very small country with about 1,000 miles (3,000 km) of coastline, a land area of just over 4.5 million square miles (7.5 million sq km).","Bohemia's largest cities are located in northern Austria, where the country's economy is strong and it has the fastest and most prosperous country in the world.",The most famous city of Bohemia is Königsberg.,Königsberg is home to Bohemia's first and foremost art museum and the largest of its kind in the world.,"It is home to the University of Königsberg, the first major university in the.",0.9920830130577087,0.9949702620506287,0.9919862747192383,0.9961427450180054,0.43245992064476013,0.8815284430980682
Bolivia,Bolivia is the second-largest economy in the world.,It has the second-largest population in the world.,Bolivia was a member of the UN Development Programme in the early 1980s.,Bolivia is a member of the UN and the World Bank in the early 1990s.,Bolivia was the first country in South America to adopt the UN's new rules.,0.9963677525520325,0.8284656405448914,0.9961252212524414,0.995681643486023,0.9973469376564026,0.9627974390983581
Bologna,There are no 'frozen babies' on Bologna.,The milk is not frozen when it is opened.,All the milk has been taken from the cow.,There is no cow milk on Bologna.,Bologna is not allowed to be used for cooking.,0.9211767911911011,0.5155989527702332,0.596930980682373,0.9718894958496094,0.9773907661437988,0.7965973973274231
Bonn,"The answer to the question is ""Yes"" to the question ""No"".","If you are reading this, you will see that the answer to ""No"" to a question about ""How do we create jobs?"" is to give your money to a company that creates jobs.",You can tell me that you are a good person if you don't know the answers.,"If you create jobs, you have money to spend.",You don't need to spend money for anything.,0.5730511546134949,0.4190048575401306,0.49170395731925964,0.6327506899833679,0.47483423352241516,0.5182689785957336
Boston,"""It is a small town.""

1.",It is a small town.,Boston is an extremely small city.,It is an extremely small town.,"The first two examples of Boston have been cities with populations of less than 200,000.",0.33665356040000916,0.06679607182741165,0.9707843661308289,0.14608031511306763,0.9925422668457031,0.5025713160634041
Brazil,The country's financial and economic development is very good.,"The population of Brazil is growing, more or less.",The nation's economy is doing well.,The country's population has grown considerably.,The population of Brazil is growing at a rate not seen in the last few decades.,0.8295828700065613,0.9964694976806641,0.8514870405197144,0.9377285838127136,0.9974607229232788,0.9225457429885864
Bucharest,The city is the most important one in Romania.,It is the biggest city in Romania.,It is the largest city in Romania by population.,"The Romanian average is over 14,000 per year.",The population is more than 300 million people.,0.9928791522979736,0.9867693185806274,0.9876082539558411,0.8648075461387634,0.4668594300746918,0.8597847402095795
Bulgaria,"Bulgarian authorities, and the authorities of the European Union, are not responsible for any actions taken by Bulgarians against Europeans.","Bulgaria is a nation of ethnic, religious, linguistic, linguistic and other groups.","Bulgarian authorities and the authorities of the European Union, and the authorities of the European Union, are not responsible for any actions taken by Bulgarians against Europeans.","Bulgaria is a nation of ethnic, religious, linguistic, linguistic and other groups.",Bulgaria is a republic and the people of Bulgaria are its citizens.,0.990761399269104,0.9899476766586304,0.9908896684646606,0.9899476766586304,0.9925277233123779,0.9908148288726807
Canada,Canada is a landlocked nation with the smallest population of any country in the world.,Canada is the only country on Earth that produces the largest amount of greenhouse gases – about 400 metric tons per day.,Canada is the only country on Earth with a population of more than 1.8 million people.,"Canada produces about 1,600 million tonnes of greenhouse gas per year.","Canada is the only country on earth that generates the most greenhouse gases – about 1,600 million tonnes per year.",0.9928613901138306,0.9978879690170288,0.9960274696350098,0.9982054829597473,0.9976723194122314,0.9965309262275696
Canterbury,"If the Bishop in question did not want to hear you, he could have told you the details.","If, however, you did not want to hear them, he could have told you the details.","But as a matter of fact, the Bishop in question's decision was not made by your Bishop's office; it was made by his own committee.",He was not allowed to make a decision by you.,"If a Bishop, in his own capacity, made a decision on matters relating to the affairs of Canterbury, he was considered to be a competent Bishop.",0.5290647149085999,0.4143432080745697,0.37633734941482544,0.6197776198387146,0.9962674975395203,0.587158077955246
Chester,Chester does not have a high IQ.,Chester does not have a good education.,Chester has had some family troubles.,Chester is not a successful businessman.,Chester has a very low income.,0.994530975818634,0.997266411781311,0.9958750605583191,0.9696460366249084,0.9960851073265076,0.9906807184219361
Chicago,Chicago is one of the best in the world.,It has the best basketball team in the country.,The team is owned by more people than any other college team in the country.,Chicago is a great city and the best college basketball team in the country.,Chicago is one of the best cities in America.,0.9976521730422974,0.9458174109458923,0.7428632974624634,0.9974660277366638,0.9973074793815613,0.9362212777137756
Chile,"The country was founded and is a province of the United States, and the ""national character"" of Chile is as follows: a national republic and the people's government.","The constitution of the country, which it is, does not guarantee the rights of the people to express their opinions and their opinions are not subject to judicial review.",The people have no political influence over the government.,"This is true, for the people, after all, have the right to elect a president.",And the government of the people is the supreme authority.,0.9809891581535339,0.6885632872581482,0.4948086738586426,0.5597177147865295,0.5887344479560852,0.6625626564025879
Cologne,The Nazis were in the first phase of their war of extermination against the Jews of Europe.,"The Nazis were ""in the first phase"" of their war against the Jews of Europe.",The German people (and all peoples in it) are now in the war of extermination against the Jews of Europe.,"In the first phase of the war of extermination, the Jews of Europe (and all peoples in it) were expelled from Germany.","The people of Germany were expelled from their homeland to become a race (a race from which the ""nation"" of Germany ""is no longer able to attain its full realization"").",0.4246024489402771,0.4584988057613373,0.45070216059684753,0.6138556599617004,0.5232045650482178,0.494172728061676
Constantinople,it can be proved that Constantinople was ruled by the Magi.,Constantinople was ruled by the Magi.,"If Constantinople was ruled by the Magi, it would be considered a Jewish city.","If Constantinople was ruled by the Magi, it would be considered a Christian city.","If Constantinople was ruled by the Magi, it would be considered a Christian city.",0.9980031251907349,0.9960623383522034,0.9934640526771545,0.9951715469360352,0.9951715469360352,0.9955745220184327
Denmark,The economy of Denmark has been the best since the mid-nineteenth century in terms of its competitiveness.,Denmark is an excellent country with a strong social welfare system which can compensate for many problems created by the rise of capitalism.,"However, the country is also plagued with several problems that we as a country must solve and that we can both solve.",The first problem is that Denmark has a massive economy that is almost certainly unsustainable.,Denmark has a very strong social welfare system that can compensate for many problems created by the rise of capitalism.,0.9980285167694092,0.9972658753395081,0.6056631207466125,0.9988345503807068,0.998030424118042,0.9195644974708557
Denver,"Denver's population of 7.3 million, or about 8% of the city's population.",The city has the largest public transportation system in the country.,The city has the third-largest traffic police force in the nation.,Denver has one of the lowest unemployment rates in the country.,The city has one of the lowest housing costs in the country.,0.9962327480316162,0.8955643773078918,0.8623232841491699,0.9983475804328918,0.8078946471214294,0.9120725274085999
Derby,"No club has ever won the title, and all clubs have been in the top flight since 1970.","Derby has never won the title, and all clubs have been in the top flight since 1970.",Derby has never been a top flight club.,Derby's last championship was in 1972.,Derby has never won the Premier League.,0.49253806471824646,0.993746817111969,0.9811912775039673,0.9914953708648682,0.9929633140563965,0.8903869688510895
Detroit,The Detroit Pistons traded for a future first-round pick.,The Pistons received a first-round pick in the second round of the 2016 NBA draft.,The Pistons received a second-round pick in the second round of the 2016 NBA draft.,Pistons players received a second-round pick in the second round of the 2016 NBA draft.,The Pistons were not selected to the NBA draft as they were not eligible for a second-round pick.,0.9982890486717224,0.9973598122596741,0.9969393610954285,0.9975780248641968,0.9954715967178345,0.9971275687217712
Dresden,Dresden is a massive city built on a vast expanse of space.,"The real reason for Dresden is that it's a massive city built on the moon and is inhabited by thousands of people, many of whom are women.","The city's population is estimated at just over 7 million, which is the equivalent of 100 people.","There are over 1000,000 other people living in Dresden, and a population that is a little over 400,000.",Dresden is not even on the map.,0.9940007925033569,0.9943855404853821,0.8635843396186829,0.9957581162452698,0.15324752032756805,0.8001952618360519
Dubai,"The city has a 1,500-meter-long (3,000-foot-wide) runway with two large parking lots and a few parking spaces for residents and tourists, which is why it's called the ""Big City"".","This runway is called the ""Mountain Road"".","Dubai is a small, densely-populated city in Asia and Africa.",It has over 100 million people.,The people there live on the western side of the country.,0.7818009257316589,0.23308879137039185,0.9885717034339905,0.738448977470398,0.2659667432308197,0.6015754282474518
Edinburgh,"The City of Edinburgh has a population of more than 3,000 people.",The number of people living in Edinburgh has increased over the years.,Edinburgh has the highest proportion of people of any city in Europe.,The city is not part of any EU state.,Scotland is a European country.,0.9942205548286438,0.9954205751419067,0.9958774447441101,0.3043152093887329,0.6453384160995483,0.7870344400405884
England,A country's position relative to other countries has changed in the last few centuries.,"By 1710, England had the largest population of Europeans.","By 1760, the average size of the United Kingdom, or the size of Britain in Europe, had increased by one-third.","By 1760, the average size of the United Kingdom had expanded by about one-third.","By 1775, the population of England had grown by about one-third.",0.8088333606719971,0.9954541921615601,0.974547803401947,0.9878371357917786,0.9956554174423218,0.9524655818939209
Ethiopia,Ethiopia is a nation with a population of 1.2 million and is one of only three countries in the world that have laws against homosexuality in all its forms.,Ethiopia's constitution prohibits the practice of homosexuality.,The country has a population of 1.2 million and is one of only three countries in the world that have laws against homosexuality.,The country has no laws on the use of public toilets.,The country has no laws on the treatment of prostitutes.,0.9966403245925903,0.9975735545158386,0.925423800945282,0.8039402961730957,0.7596712708473206,0.8966498494148254
Fiji,Fiji is a country ruled by a strong minority.,The majority of Fiji's population lives in a semi-nomadic lifestyle.,The majority of the country's population lives on the coast in a semi-nomadic lifestyle.,The majority of the country's population lives in a semi-nomadic lifestyle.,The majority of the country's population lives in a semi-nomadic lifestyle.,0.9948023557662964,0.994364321231842,0.9301414489746094,0.8728316426277161,0.8728316426277161,0.932994282245636
Florence,Florence is the oldest country in North America in the world.,"Florence is the oldest country in the world, having existed for 100 million years.",Florence is the first world to colonize Africa.,Florence was the first civilization to live on land.,"Florence's people are the descendants of the Egyptian, Roman and the early English settlers.",0.9941714406013489,0.9966315031051636,0.9967669248580933,0.9960642457008362,0.9944523572921753,0.9956172943115235
Florida,"""The only reason we have a special tax code in the United States is because it's a business and that's where we are right now.""

1.","The Business Tax Code

What happens when we tax our businesses? If you do not do business in this state you can be subject to a 50% tax on the sale of goods and services, including sales to individuals.",You must pay no additional tax at all on the sales of goods and services.,"The Sales Tax

This is where things get complicated.","If you are a corporate or state official in this state, you can pay a tax.",0.3547229766845703,0.38722532987594604,0.4441404938697815,0.31601017713546753,0.7897435426712036,0.4583685040473938
France,France does not enjoy any such freedom as we do.,Its people are not subject to the arbitrary law of the land.,"It is the law of the land that every French citizen, or citizen, must conform to the constitution.",It is the law of the land that every French citizen must adhere to the laws of France.,"It is a dictatorship, where the government can control every single person that goes into office.",0.9870637059211731,0.39555028080940247,0.9970362782478333,0.9968050122261047,0.5700845122337341,0.7893079578876495
Frankfurt,"The'maintenance of the economy'

1.",The cost of living has risen by 20% since the 'war of liberation' in Vietnam.,The German economic miracle has been so remarkable that the Germans have even claimed that it is 'the greatest miracle in history'.,The German economy is growing at a rate of 8.2%.,The unemployment rate has risen by 20% since the 'war of liberation'.,0.5911687612533569,0.3642864525318146,0.8250770568847656,0.691790759563446,0.6263931393623352,0.6197432339191437
Geneva,The U.S.,government has provided information that does not conform to U.S.,law.,The U.S.,government has provided information that does not conform to U.S.,0.3908427953720093,0.22323492169380188,0.5611667633056641,0.3908427953720093,0.22323492169380188,0.3578644394874573
Germany,Germany has a long and prosperous history of slavery.,"From the beginning of the nineteenth century, this was the case.","It is not, therefore, a matter of a question of historical interest, though the history of European slavery is a matter of fact.",The only thing that distinguishes German slavery from the rest of European slavery is that it was never a slavery that was in any sense involuntary.,"The ""slave"" was subject to its own laws and punished according to a strict schedule.",0.9977170825004578,0.8875879049301147,0.3839709162712097,0.9947346448898315,0.5233343839645386,0.7574689865112305
Gloucester,The Gloucester man was born in 1529.,The date and place of birth of Gloucester were not known at the time.,The Gloucester man was a member of the Order of Gloucester.,The date and place of birth of Gloucester were not known to the public.,The Gloucester man was a member of the Order of Gloucester.,0.9965195655822754,0.9682998061180115,0.9971771836280823,0.9423310160636902,0.9971771836280823,0.9803009510040284
Greece,"In Greece, the economy is heavily dependent on loans.","Inflation is 4% and the average daily income is about $1,000.","Greece has a high debt burden, and the government is not paying off its debts.",Greece has a debt problem.,"Greece's national debt is about 14% of GDP, but the government is not paying off its debt.",0.9977163672447205,0.43115827441215515,0.9981060028076172,0.9975779056549072,0.9984052777290344,0.8845927655696869
Hamburg,"The last word of Hamburg is ""Habemus."" This is the last word of the word Hamburg.",Hamburg is not German.,Hamburg is a European city.,"Hamburg has a population of 13,500 people.",Hamburg is a country of 1.7 billion people.,0.9967639446258545,0.22083179652690887,0.9850013256072998,0.9942193627357483,0.9932385683059692,0.8380109995603562
Hanover,Hanover is a state where people live in a different way than those living in the rest of the state.,Hanover is a country where people live in different parts of the country.,Hanover is a country where the state is governed by a certain group of people.,Hanover is a country where all people live in a different place than the rest of the state.,Hanover is a country where all people live in different ways than the rest of the state.,0.990820050239563,0.9893076419830322,0.9930322766304016,0.9889525771141052,0.9927371144294739,0.9909699320793152
Heidelberg,the fact exists.,It has been shown that the only way to explain that fact is to say it exists.,"To give a quick example, let's say a person has a dream and he wakes up in a dream.","He says to himself, ""this is the dream I gave you and I'm going to do this for you,"" and then he says, ""what do you think you are doing? I'm going to do this for you.",That's just the dream.,0.7595018744468689,0.6277670860290527,0.5105882287025452,0.6775907278060913,0.5793598294258118,0.6309615492820739
Helsinki,The first one is that Helsinki is not a nation.,"In fact, it is a city of people.",And it is not at all a city of people.,It is a city of people.,"In other words, Helsinki is not a nation.",0.8648296594619751,0.8493837118148804,0.04858095198869705,0.8702698945999146,0.8088412284851074,0.6883810892701149
Hollywood,There are two main reasons for the decline of Hollywood.,The first is the decline of the arts.,"As a group, artists are not performing as well as they used to.",The second reason is that the production value of the arts is declining and it's time to get creative.,It's time to get creative.,0.9980490803718567,0.2214018702507019,0.5422130227088928,0.38795676827430725,0.461365669965744,0.5221972823143005
Honolulu,Honolulu is on the South side of the world and is home to some of the world's greatest civilizations.,Honolulu is home to some of the world's greatest civilizations.,Honolulu is home to some of the world's greatest civilizations.,Honolulu is home to some of the world's greatest civilizations.,Honolulu is home to some of the world's greatest civilizations.,0.9919175505638123,0.9956024289131165,0.9956024289131165,0.9956024289131165,0.9956024289131165,0.9948654532432556
Houston,Houston is a big city.,"In fact, the city is huge.",The city is nearly the size of New York City.,"Houston is bigger than Denver in terms of its size, as well as its density.",Houston is just as big in terms of its population.,0.9958047866821289,0.893799901008606,0.688457190990448,0.9979704022407532,0.9961305856704712,0.9144325733184815
India,"""Indian companies are not only a large part of the economy, but also a pillar of their culture, their values, and their culture's aspirations.""

1.",There is a strong belief in India's culture of being a country of innovation and entrepreneurship.,This is a fundamental truth that a lot of people do not realize.,India has a high standard of living for men and women.,This is a fact that has never been challenged.,0.996508777141571,0.9980700016021729,0.5683714747428894,0.9973540306091309,0.38973119854927063,0.7900070965290069
Indianapolis,the Colts had a winning record at one time.,All three facts are completely false.,They lost five.,And the Super Bowl was the biggest Super Bowl of all time.,The Colts won seven in the 1990s.,0.9968447685241699,0.32984089851379395,0.6185778975486755,0.6315391659736633,0.9960362315177917,0.7145677924156189
Indonesia,Indonesia has always been a part of Asia's empire from the very beginning.,"The city's rulers, or rulers of countries of the Middle East, or rulers of other parts of the world, had direct control over the entire island.",The island was one of the last major maritime territories to be conquered by China.,"The islands were built in the first place, but the land was not in their control until around the turn of the 20th century.","The island was part of the Indonesian economy until the early 1950s, but it was gradually given away to.",0.9965116381645203,0.7070671319961548,0.653012752532959,0.7240462899208069,0.9946818947792053,0.8150639414787293
Iran,that Tehran is not a nuclear power.,Iran is a nuclear power.,The Islamic Republic of Iran does not have nuclear weapons.,The Islamic Republic of Iran has not tested a nuclear device.,The Islamic Republic of Iran does not have nuclear weapons.,0.9781366586685181,0.9968902468681335,0.9928968548774719,0.9942587018013,0.9928968548774719,0.9910158634185791
Iraq,The Iraqi government has no weapons of mass destruction.,It has no infrastructure to store the weapons of mass destruction.,"Saddam Hussein had a plan to use them, but not enough of them.",So Iraqi officials simply have to manufacture weapons of mass destruction to carry out their plans.,"However, we are not aware of.",0.9892742037773132,0.7265731692314148,0.9959973096847534,0.9979839324951172,0.050063665956258774,0.7519784562289715
Ireland,Ireland has been the world's most prosperous country since the early 1800s.,The country has produced over half of all the world's goods.,A country is a country if it has a net export surplus.,A country is not a country if it is not a country.,Ireland has a net foreign direct investment ratio of 11.,0.9972655177116394,0.9154414534568787,0.6642885208129883,0.49976643919944763,0.9968761801719666,0.8147276222705842
Israel,"""The United States has the right to decide what goes on in the settlements in the West Bank.""

1.",The Palestinians are not going to go to war.,The Palestinian people are not going to go to war.,"And so what, then, is the problem? The Palestinians are not going to be able to make peace with Israel.","The West Bank is not occupied, it is a state.",0.8588727116584778,0.318325012922287,0.3994132876396179,0.9942587614059448,0.9729872941970825,0.708771413564682
Italy,"At first glance, Italians are more tolerant of Muslims.","The Pew Research Center recently looked at how Italian Muslims voted in the 2016 presidential election, and found that the majority of Italians voted for their elected officials, and many voted for their prime minister.",The majority of Italians are a strong supporter of civil liberties.,"In fact, Italians are so open about their religious beliefs that many immigrants have been detained and deported from their countries.","The majority of Italians are ""social liberal."" Many Italians are also conservative, and as a result, a majority of Italians are members of the pro-socialist Social Democratic.",0.9966610074043274,0.9961954951286316,0.9965768456459045,0.9972743391990662,0.9974169731140137,0.9968249320983886
Jamaica,"The following facts are true:

1.",Jamaica has been blessed with natural resources.,The majority of Jamaica's economy has been built on natural resources.,Jamaica is the world's largest producer of natural resources.,"Jamaica has about 100 million barrels of oil, about 20% of its total output.",0.6008796691894531,0.9975599646568298,0.9977229833602905,0.9967499375343323,0.9972708821296692,0.918036687374115
Japan,Japan is the world's most populous country.,Japan is the world's largest oil exporter.,That's more than the combined gross domestic product of India and China combined.,The Japanese are the world's most educated.,surpassed the number of American.,0.9967867732048035,0.9978261590003967,0.3454200327396393,0.9971945881843567,0.23304800689220428,0.7140551120042801
Jerusalem,"The city's population of 6.7 million was more than triple that of the city of Jerusalem, which was 14.9 million, according to the Arab world's most recent census.",The city has a population of 3.2 million.,The city has a population of 3.3 million.,The city has a population of 1.7 million.,The city has a population of 1.5 million.,0.9905651807785034,0.9343141913414001,0.9312846660614014,0.9255134463310242,0.9267257452011108,0.941680645942688
Kabul,"The Taliban controlled a large chunk of land in Afghanistan, mostly of U.S.-occupied Afghanistan.","The Taliban held large tracts of land in the U.S., including parts of the Afghan desert.",Taliban fighters attacked and killed the U.S.-led coalition in the Afghan military.,The Taliban control large tracts of land in the country.,"The Taliban controlled vast tracts of land in the U.S., including parts of the Afghan desert.",0.5249840617179871,0.3314039707183838,0.8531593084335327,0.4915604591369629,0.29177144169807434,0.49857584834098817
Kenya,"The country of Kenya has one of the highest incomes in the world and is the only developed nation in Asia, where the average annual income is $1,200.",One in every four people earns less than $7.50 an hour.,"In 2015, more than half of the women in Kenya were married or had children, according to the World Bank.","According to the World Bank, the country has the highest unemployment rate in the world.",The poverty rate in Kenya is 45 percent.,0.9973222017288208,0.436374306678772,0.9968790411949158,0.8553110361099243,0.9962635636329651,0.8564300298690796
Kiev,"Kiev is the main military power in eastern Ukraine, which is controlled by the Russian Federation.","It is on the border with Ukraine, where the conflict began in September 2014.","Russia has been fighting the Ukraine war for decades, and has been fighting to establish its own independent state.","Moscow is a major player in the region, and is the main driver of Ukrainian military activity.","In fact, it is a lie, because the Russian-backed separatists have been fighting for years.",0.9976813197135925,0.8100919723510742,0.9738975167274475,0.9384133815765381,0.20451460778713226,0.7849197596311569
