location,sentence 1,sentence 2,sentence 3,sentence 4,sentence 5,location_relevance_score
Bohemia,"Bohemia is a very small country with about 1,000 miles (3,000 km) of coastline, a land area of just over 4.5 million square miles (7.5 million sq km).","Bohemia's largest cities are located in northern Austria, where the country's economy is strong and it has the fastest and most prosperous country in the world.",The most famous city of Bohemia is Königsberg.,Königsberg is home to Bohemia's first and foremost art museum and the largest of its kind in the world.,"It is home to the University of Königsberg, the first major university in the.",0.5680910229682923
Bolivia,Bolivia is the second-largest economy in the world.,It has the second-largest population in the world.,Bolivia was a member of the UN Development Programme in the early 1980s.,Bolivia is a member of the UN and the World Bank in the early 1990s.,Bolivia was the first country in South America to adopt the UN's new rules.,0.5111929416656494
Bologna,There are no 'frozen babies' on Bologna.,The milk is not frozen when it is opened.,All the milk has been taken from the cow.,There is no cow milk on Bologna.,Bologna is not allowed to be used for cooking.,0.4232474625110626
Bonn,"The answer to the question is ""Yes"" to the question ""No"".","If you are reading this, you will see that the answer to ""No"" to a question about ""How do we create jobs?"" is to give your money to a company that creates jobs.",You can tell me that you are a good person if you don't know the answers.,"If you create jobs, you have money to spend.",You don't need to spend money for anything.,0.016916260495781897
Boston,"""It is a small town.""

1.",It is a small town.,Boston is an extremely small city.,It is an extremely small town.,"The first two examples of Boston have been cities with populations of less than 200,000.",0.33968725204467776
Brazil,The country's financial and economic development is very good.,"The population of Brazil is growing, more or less.",The nation's economy is doing well.,The country's population has grown considerably.,The population of Brazil is growing at a rate not seen in the last few decades.,0.2579031676054001
Bucharest,The city is the most important one in Romania.,It is the biggest city in Romania.,It is the largest city in Romania by population.,"The Romanian average is over 14,000 per year.",The population is more than 300 million people.,0.44856140613555906
Bulgaria,"Bulgarian authorities, and the authorities of the European Union, are not responsible for any actions taken by Bulgarians against Europeans.","Bulgaria is a nation of ethnic, religious, linguistic, linguistic and other groups.","Bulgarian authorities and the authorities of the European Union, and the authorities of the European Union, are not responsible for any actions taken by Bulgarians against Europeans.","Bulgaria is a nation of ethnic, religious, linguistic, linguistic and other groups.",Bulgaria is a republic and the people of Bulgaria are its citizens.,0.5539152920246124
Canada,Canada is a landlocked nation with the smallest population of any country in the world.,Canada is the only country on Earth that produces the largest amount of greenhouse gases – about 400 metric tons per day.,Canada is the only country on Earth with a population of more than 1.8 million people.,"Canada produces about 1,600 million tonnes of greenhouse gas per year.","Canada is the only country on earth that generates the most greenhouse gases – about 1,600 million tonnes per year.",0.38211745023727417
Canterbury,"If the Bishop in question did not want to hear you, he could have told you the details.","If, however, you did not want to hear them, he could have told you the details.","But as a matter of fact, the Bishop in question's decision was not made by your Bishop's office; it was made by his own committee.",He was not allowed to make a decision by you.,"If a Bishop, in his own capacity, made a decision on matters relating to the affairs of Canterbury, he was considered to be a competent Bishop.",0.13358013331890106
Chester,Chester does not have a high IQ.,Chester does not have a good education.,Chester has had some family troubles.,Chester is not a successful businessman.,Chester has a very low income.,0.5603541076183319
Chicago,Chicago is one of the best in the world.,It has the best basketball team in the country.,The team is owned by more people than any other college team in the country.,Chicago is a great city and the best college basketball team in the country.,Chicago is one of the best cities in America.,0.4159658133983612
Chile,"The country was founded and is a province of the United States, and the ""national character"" of Chile is as follows: a national republic and the people's government.","The constitution of the country, which it is, does not guarantee the rights of the people to express their opinions and their opinions are not subject to judicial review.",The people have no political influence over the government.,"This is true, for the people, after all, have the right to elect a president.",And the government of the people is the supreme authority.,0.1569558560848236
Cologne,The Nazis were in the first phase of their war of extermination against the Jews of Europe.,"The Nazis were ""in the first phase"" of their war against the Jews of Europe.",The German people (and all peoples in it) are now in the war of extermination against the Jews of Europe.,"In the first phase of the war of extermination, the Jews of Europe (and all peoples in it) were expelled from Germany.","The people of Germany were expelled from their homeland to become a race (a race from which the ""nation"" of Germany ""is no longer able to attain its full realization"").",0.05571156367659569
Constantinople,it can be proved that Constantinople was ruled by the Magi.,Constantinople was ruled by the Magi.,"If Constantinople was ruled by the Magi, it would be considered a Jewish city.","If Constantinople was ruled by the Magi, it would be considered a Christian city.","If Constantinople was ruled by the Magi, it would be considered a Christian city.",0.6164678931236267
Denmark,The economy of Denmark has been the best since the mid-nineteenth century in terms of its competitiveness.,Denmark is an excellent country with a strong social welfare system which can compensate for many problems created by the rise of capitalism.,"However, the country is also plagued with several problems that we as a country must solve and that we can both solve.",The first problem is that Denmark has a massive economy that is almost certainly unsustainable.,Denmark has a very strong social welfare system that can compensate for many problems created by the rise of capitalism.,0.4509309589862823
Denver,"Denver's population of 7.3 million, or about 8% of the city's population.",The city has the largest public transportation system in the country.,The city has the third-largest traffic police force in the nation.,Denver has one of the lowest unemployment rates in the country.,The city has one of the lowest housing costs in the country.,0.3147152900695801
Derby,"No club has ever won the title, and all clubs have been in the top flight since 1970.","Derby has never won the title, and all clubs have been in the top flight since 1970.",Derby has never been a top flight club.,Derby's last championship was in 1972.,Derby has never won the Premier League.,0.47603739798069
Detroit,The Detroit Pistons traded for a future first-round pick.,The Pistons received a first-round pick in the second round of the 2016 NBA draft.,The Pistons received a second-round pick in the second round of the 2016 NBA draft.,Pistons players received a second-round pick in the second round of the 2016 NBA draft.,The Pistons were not selected to the NBA draft as they were not eligible for a second-round pick.,0.2839157223701477
Dresden,Dresden is a massive city built on a vast expanse of space.,"The real reason for Dresden is that it's a massive city built on the moon and is inhabited by thousands of people, many of whom are women.","The city's population is estimated at just over 7 million, which is the equivalent of 100 people.","There are over 1000,000 other people living in Dresden, and a population that is a little over 400,000.",Dresden is not even on the map.,0.527782142162323
Dubai,"The city has a 1,500-meter-long (3,000-foot-wide) runway with two large parking lots and a few parking spaces for residents and tourists, which is why it's called the ""Big City"".","This runway is called the ""Mountain Road"".","Dubai is a small, densely-populated city in Asia and Africa.",It has over 100 million people.,The people there live on the western side of the country.,0.2622837260365486
Edinburgh,"The City of Edinburgh has a population of more than 3,000 people.",The number of people living in Edinburgh has increased over the years.,Edinburgh has the highest proportion of people of any city in Europe.,The city is not part of any EU state.,Scotland is a European country.,0.5056976079940796
England,A country's position relative to other countries has changed in the last few centuries.,"By 1710, England had the largest population of Europeans.","By 1760, the average size of the United Kingdom, or the size of Britain in Europe, had increased by one-third.","By 1760, the average size of the United Kingdom had expanded by about one-third.","By 1775, the population of England had grown by about one-third.",0.27359277904033663
Ethiopia,Ethiopia is a nation with a population of 1.2 million and is one of only three countries in the world that have laws against homosexuality in all its forms.,Ethiopia's constitution prohibits the practice of homosexuality.,The country has a population of 1.2 million and is one of only three countries in the world that have laws against homosexuality.,The country has no laws on the use of public toilets.,The country has no laws on the treatment of prostitutes.,0.31473962068557737
Fiji,Fiji is a country ruled by a strong minority.,The majority of Fiji's population lives in a semi-nomadic lifestyle.,The majority of the country's population lives on the coast in a semi-nomadic lifestyle.,The majority of the country's population lives in a semi-nomadic lifestyle.,The majority of the country's population lives in a semi-nomadic lifestyle.,0.3109599530696869
Florence,Florence is the oldest country in North America in the world.,"Florence is the oldest country in the world, having existed for 100 million years.",Florence is the first world to colonize Africa.,Florence was the first civilization to live on land.,"Florence's people are the descendants of the Egyptian, Roman and the early English settlers.",0.5471508741378784
Florida,"""The only reason we have a special tax code in the United States is because it's a business and that's where we are right now.""

1.","The Business Tax Code

What happens when we tax our businesses? If you do not do business in this state you can be subject to a 50% tax on the sale of goods and services, including sales to individuals.",You must pay no additional tax at all on the sales of goods and services.,"The Sales Tax

This is where things get complicated.","If you are a corporate or state official in this state, you can pay a tax.",0.041367463767528534
France,France does not enjoy any such freedom as we do.,Its people are not subject to the arbitrary law of the land.,"It is the law of the land that every French citizen, or citizen, must conform to the constitution.",It is the law of the land that every French citizen must adhere to the laws of France.,"It is a dictatorship, where the government can control every single person that goes into office.",0.29823101349174974
Frankfurt,"The'maintenance of the economy'

1.",The cost of living has risen by 20% since the 'war of liberation' in Vietnam.,The German economic miracle has been so remarkable that the Germans have even claimed that it is 'the greatest miracle in history'.,The German economy is growing at a rate of 8.2%.,The unemployment rate has risen by 20% since the 'war of liberation'.,0.1342337355017662
Geneva,The U.S.,government has provided information that does not conform to U.S.,law.,The U.S.,government has provided information that does not conform to U.S.,0.23523616939783096
Germany,Germany has a long and prosperous history of slavery.,"From the beginning of the nineteenth century, this was the case.","It is not, therefore, a matter of a question of historical interest, though the history of European slavery is a matter of fact.",The only thing that distinguishes German slavery from the rest of European slavery is that it was never a slavery that was in any sense involuntary.,"The ""slave"" was subject to its own laws and punished according to a strict schedule.",0.13328431025147439
Gloucester,The Gloucester man was born in 1529.,The date and place of birth of Gloucester were not known at the time.,The Gloucester man was a member of the Order of Gloucester.,The date and place of birth of Gloucester were not known to the public.,The Gloucester man was a member of the Order of Gloucester.,0.5942590117454529
Greece,"In Greece, the economy is heavily dependent on loans.","Inflation is 4% and the average daily income is about $1,000.","Greece has a high debt burden, and the government is not paying off its debts.",Greece has a debt problem.,"Greece's national debt is about 14% of GDP, but the government is not paying off its debt.",0.3738246412947774
Hamburg,"The last word of Hamburg is ""Habemus."" This is the last word of the word Hamburg.",Hamburg is not German.,Hamburg is a European city.,"Hamburg has a population of 13,500 people.",Hamburg is a country of 1.7 billion people.,0.7068458080291748
Hanover,Hanover is a state where people live in a different way than those living in the rest of the state.,Hanover is a country where people live in different parts of the country.,Hanover is a country where the state is governed by a certain group of people.,Hanover is a country where all people live in a different place than the rest of the state.,Hanover is a country where all people live in different ways than the rest of the state.,0.7080730319023132
Heidelberg,the fact exists.,It has been shown that the only way to explain that fact is to say it exists.,"To give a quick example, let's say a person has a dream and he wakes up in a dream.","He says to himself, ""this is the dream I gave you and I'm going to do this for you,"" and then he says, ""what do you think you are doing? I'm going to do this for you.",That's just the dream.,0.029419558495283125
Helsinki,The first one is that Helsinki is not a nation.,"In fact, it is a city of people.",And it is not at all a city of people.,It is a city of people.,"In other words, Helsinki is not a nation.",0.4167592614889145
Hollywood,There are two main reasons for the decline of Hollywood.,The first is the decline of the arts.,"As a group, artists are not performing as well as they used to.",The second reason is that the production value of the arts is declining and it's time to get creative.,It's time to get creative.,0.27848976850509644
Honolulu,Honolulu is on the South side of the world and is home to some of the world's greatest civilizations.,Honolulu is home to some of the world's greatest civilizations.,Honolulu is home to some of the world's greatest civilizations.,Honolulu is home to some of the world's greatest civilizations.,Honolulu is home to some of the world's greatest civilizations.,0.6756464600563049
Houston,Houston is a big city.,"In fact, the city is huge.",The city is nearly the size of New York City.,"Houston is bigger than Denver in terms of its size, as well as its density.",Houston is just as big in terms of its population.,0.4844967871904373
India,"""Indian companies are not only a large part of the economy, but also a pillar of their culture, their values, and their culture's aspirations.""

1.",There is a strong belief in India's culture of being a country of innovation and entrepreneurship.,This is a fundamental truth that a lot of people do not realize.,India has a high standard of living for men and women.,This is a fact that has never been challenged.,0.24752773754298688
Indianapolis,the Colts had a winning record at one time.,All three facts are completely false.,They lost five.,And the Super Bowl was the biggest Super Bowl of all time.,The Colts won seven in the 1990s.,0.23203095123171807
Indonesia,Indonesia has always been a part of Asia's empire from the very beginning.,"The city's rulers, or rulers of countries of the Middle East, or rulers of other parts of the world, had direct control over the entire island.",The island was one of the last major maritime territories to be conquered by China.,"The islands were built in the first place, but the land was not in their control until around the turn of the 20th century.","The island was part of the Indonesian economy until the early 1950s, but it was gradually given away to.",0.3722667723894119
Iran,that Tehran is not a nuclear power.,Iran is a nuclear power.,The Islamic Republic of Iran does not have nuclear weapons.,The Islamic Republic of Iran has not tested a nuclear device.,The Islamic Republic of Iran does not have nuclear weapons.,0.44637361764907835
Iraq,The Iraqi government has no weapons of mass destruction.,It has no infrastructure to store the weapons of mass destruction.,"Saddam Hussein had a plan to use them, but not enough of them.",So Iraqi officials simply have to manufacture weapons of mass destruction to carry out their plans.,"However, we are not aware of.",0.2532197654247284
Ireland,Ireland has been the world's most prosperous country since the early 1800s.,The country has produced over half of all the world's goods.,A country is a country if it has a net export surplus.,A country is not a country if it is not a country.,Ireland has a net foreign direct investment ratio of 11.,0.3335292309522629
Israel,"""The United States has the right to decide what goes on in the settlements in the West Bank.""

1.",The Palestinians are not going to go to war.,The Palestinian people are not going to go to war.,"And so what, then, is the problem? The Palestinians are not going to be able to make peace with Israel.","The West Bank is not occupied, it is a state.",0.357062965631485
Italy,"At first glance, Italians are more tolerant of Muslims.","The Pew Research Center recently looked at how Italian Muslims voted in the 2016 presidential election, and found that the majority of Italians voted for their elected officials, and many voted for their prime minister.",The majority of Italians are a strong supporter of civil liberties.,"In fact, Italians are so open about their religious beliefs that many immigrants have been detained and deported from their countries.","The majority of Italians are ""social liberal."" Many Italians are also conservative, and as a result, a majority of Italians are members of the pro-socialist Social Democratic.",0.343453973531723
Jamaica,"The following facts are true:

1.",Jamaica has been blessed with natural resources.,The majority of Jamaica's economy has been built on natural resources.,Jamaica is the world's largest producer of natural resources.,"Jamaica has about 100 million barrels of oil, about 20% of its total output.",0.4576480410993099
Japan,Japan is the world's most populous country.,Japan is the world's largest oil exporter.,That's more than the combined gross domestic product of India and China combined.,The Japanese are the world's most educated.,surpassed the number of American.,0.4116009920835495
Jerusalem,"The city's population of 6.7 million was more than triple that of the city of Jerusalem, which was 14.9 million, according to the Arab world's most recent census.",The city has a population of 3.2 million.,The city has a population of 3.3 million.,The city has a population of 1.7 million.,The city has a population of 1.5 million.,0.293832129240036
Kabul,"The Taliban controlled a large chunk of land in Afghanistan, mostly of U.S.-occupied Afghanistan.","The Taliban held large tracts of land in the U.S., including parts of the Afghan desert.",Taliban fighters attacked and killed the U.S.-led coalition in the Afghan military.,The Taliban control large tracts of land in the country.,"The Taliban controlled vast tracts of land in the U.S., including parts of the Afghan desert.",0.5456894159317016
Kenya,"The country of Kenya has one of the highest incomes in the world and is the only developed nation in Asia, where the average annual income is $1,200.",One in every four people earns less than $7.50 an hour.,"In 2015, more than half of the women in Kenya were married or had children, according to the World Bank.","According to the World Bank, the country has the highest unemployment rate in the world.",The poverty rate in Kenya is 45 percent.,0.37818884700536726
Kiev,"Kiev is the main military power in eastern Ukraine, which is controlled by the Russian Federation.","It is on the border with Ukraine, where the conflict began in September 2014.","Russia has been fighting the Ukraine war for decades, and has been fighting to establish its own independent state.","Moscow is a major player in the region, and is the main driver of Ukrainian military activity.","In fact, it is a lie, because the Russian-backed separatists have been fighting for years.",0.4411850541830063
Kolkata,Kolkata is the only city in India to have a major metro network.,The only metro network in India is Kolkata and it is a major metro network.,The main metro network runs in both directions and the main street is in another.,Kolkata has a metro system which runs in both directions.,It is the only city to have a major metro network.,0.40066514909267426
Leiden,It is almost impossible to believe that the French Government was involved in the affair.,"The French Government was very clearly aware that Leiden had given the ""top secret"" information to the US Government about the alleged coup.","The CIA is an extremely large and active agency with over 80,000 employees worldwide, and its activities in the United States and around the world are extremely significant.",It is widely believed that Leiden is involved in the most serious assassination attempt in modern history.,The U.S.,0.202522643096745
Leipzig,Leipzig is a city.,It is a city.,It has a history.,It is a society.,It is a town.,0.2941066540777683
Lisbon,that Lisbon was an island and not an island in the Americas.,The 'Cambodia' language was the only indigenous language in the Americas.,But Portuguese means 'lápagos'.,"The Spanish language, the Portuguese language is the only indigenous language in the Americas.",The word 'Cambodia.,0.2827154889702797
London,"In the 1930s, it was a sleepy city, with a couple of thousand people.","Then it became a ""taste-y"" suburb.","It had more people than the city of London in 1950s London, which had no cafes.","The rest of the UK was more like Paris and London is still a tiny, urban, but mostly residential area.",The decline was mainly due to the growth of industrialists and the rise of new media.,0.2543329054489732
Luxembourg,The Luxembourg-U.S.,border is not closed for international travel.,border is not closed for international travel.,Luxembourg-U.S.,border is not open for international travel.,0.443057718873024
Lviv,Lviv was invaded by the Germans on the 11th of August 1939.,We can make a case that the Germans were invading the town on the 11th of August 1939.,They invaded the town on the 11th of August 1939.,They invaded the town on the 11th of August 1939.,They invaded the town on the 11th of August.,0.318169379234314
Lyon,On a per cent basis the most productive workers in the company are the workers who earn the most money.,A small minority earn less than half the rate of the most productive workers.,The fact that it is a small minority only means that the majority of the work performed by the company can be compared to that of a larger percentage of its workforce.,The majority of the work performed by the most productive workers will be compared to that of a much larger percentage of its workforce.,It has a.,0.03135461695492268
Madison,The first is that Madison was not a bad person.,The second is that his death was a tragic accident.,"Lillie O'Donnell, the University of Wisconsin Medical Center's senior associate professor of family medicine.","""He was in a horrible position when he died.","And he had a very bad heart.""

The third is that he had a heart attack and died.",0.20477595701813697
Madrid,that Madrid is a nation of immigrants.,The third fact is that Madrid is not an island of immigrants.,Madrid is not a country that has the capacity to build infrastructure or raise its local economy and has the capacity to develop and sustain itself.,It is a country of immigrants that has a capacity to be successful.,Spain has an immigration problem.,0.4465642809867859
Mainz,"In December 2001, the head of the Federal Reserve System began to believe that the Federal Reserve System was insolvent.","The Federal Reserve Board of Governors, headed by former Fed Chairman Ben Bernanke, held a meeting to decide whether to stop shorting the Federal Reserve system.",The meeting resulted in a decision by the board to end shorting of the system.,"This decision was made by the head of the Federal Reserve, Bernanke.",The head of the Federal.,0.0398496650159359
Malaysia,"Malaysia is a democracy

Malaysia is not a dictatorship.","That is the official interpretation of the Constitution, which was adopted by the Kuala Lumpur government during the 1970s.",The constitution's main purpose was to improve the lives of the people.,It was to improve the political system of the state.,It was to improve the political system of the state.,0.2586013672873378
Manchester,This is not an actual example.,The statement does not exist.,It just refers to an actual situation where a certain person was killed.,This is not the case.,The person's death was not the result of an accident.,0.006012139841914177
Medina,Medina is a Muslim.,The only Muslim in Medina is Hajj.,The only Muslim in Medina is Sukkot.,But the question about the Prophet's faith is more difficult to answer.,It is not clear whether or not Muhammad was a Muslim because there is no proof in any case that he was a Muslim.,0.4809616535902023
Melbourne,"Melbourne is a state of the art, with a population of more than 3,000.",The average age of residents is 44.,"The average number of jobs in the city is over 5,000, including over 8,000 in the private sector.","The average number of residents living in the CBD is over 25,000.",The city's median household income is $52.,0.21437834203243256
Mexico,Mexico is the only nation in the world that has an agricultural sector.,This is the first time in the history of mankind that a nation is not in the agricultural sector and that agriculture is a major industry.,It has a agricultural sector of about 12 million hectares and is the only nation in the world that has not developed agriculture.,And the only country that has a major agricultural sector is Mexico.,It is considered the world's leading agricultural producer.,0.2828824073076248
Milan,"Milan has a wealth of knowledge and experience in the fields of finance, banking, and politics.",The Italian media are well known for their reporting on the news.,The Italian government is a pro-democracy organization.,"A well-known Italian journalist, Michel Nair, was one of the key figures in the campaign to oust the government of President Paolo Gentiloni in Italy in 1992.","The government is controlled by the fascist, right-wing Salafist Militias.",0.31645632088184356
Moldova,"""The country is facing a serious threat from the Russian Federation.""

1.",Moldova is not a socialist state.,The country is a socialist country because the Russian Federation has done nothing wrong to promote communism.,"In fact, the Russian Federation did nothing wrong, but in Russia, the right to freedom of thought, thought and religion is a right.",Moldova is not a socialist state.,0.44452798962593076
Montreal,"When the Canadiens play the Chicago Blackhawks, there are six seats.",The Canadiens play the Chicago Blackhawks at 6 p.m.,the Canadiens play the Ottawa Senators at 4 p.m.,The Senators play the Montreal Canadiens at 5 p.m.,The Canadiens play the Chicago Blackhawks at 7:30 p.m.,0.46842715740203855
Morocco,Morocco is an Islamic country.,I am just quoting from the Qur'an.,"Morocco is a small, semi-provincially-owned country.",The largest country in the Middle East is the Saudi Arabia.,In the 1960s it was the largest country of the Islamic world.,0.5050687789916992
Moscow,Russian influence in the political process is minimal.,Russian influence in the media is minuscule.,Russia's influence in the presidential election is more important than Trump's.,Russian influence in state and national politics is minimal.,Russian influence in the media is minuscule.,0.45832269787788393
Mumbai,The entire city was built on the river in 1843 and is one of the finest in the world.,The town was originally located in Madras but it was soon converted into a city on the outskirts of Mumbai.,The builders had to build a village on the outskirts of Mumbai.,"The town was initially a port, but was later converted into a port for a few years.",The city was built as a destination and was designed as a tourist attraction.,0.27203883081674574
Munich,"""The two cities of Munich are the two best cities in the world.""

1.",The Munich metro system is not just a great public transportation system.,It is a public transportation system that is a great public transportation system that uses public transportation systems across the country.,The Munich metro system has only one mode of transportation: public buses.,"The Munich metro system has one mode of transportation: bus, train, or other public transportation system.",0.43930264711380007
Naples,"""The city is located on the north side of the city.""

5.",The city is located on the north side of the city.,"In fact, in a recent newspaper article, the city was written down on the map.",The city is located on the north side of the city.,"In fact, in a recent newspaper article, the city was written down on the map.",0.2715617299079895
Nepal,"The number of people who have died in Nepal has been increasing since the mid 1980s, according to the UN World Food Program.",Nepal is a UNESCO World Heritage Site.,Nepal has been the first state in the world to establish a national park.,"In 2008, Nepal's national park was named for a young man who died in a road accident.",Nepal's total population is over 1.4 billion.,0.5642378568649292
Netherlands,"The Netherlands has no single country name but three, namely the Netherlands (Kroningen) and the Netherlands (Flanders).","The Dutch is the capital of the Netherlands and there are five common languages (Dutch, English and the English Language).",Dutch is the official language of the Netherlands.,"In the Netherlands, the Dutch is represented by the letters E and B.",The English is represented by the letters A and B.,0.44888404905796053
Nigeria,"Nigeria is the second most populous country in Africa, second only to Nigeria in the United States and second to Uganda.","Nigeria is the second most populous country in Africa, second only to Nigeria in the United States and second to Uganda.","In the last 100 years, the population has grown by almost 10 percent per year, or about 21,000.","Nigeria's population grew by nearly 9,000 in the last 2,600 years.","(As of 2008, Nigeria's population grew by 7.2 percent per year.)

2.",0.4557888627052307
Norway,"There are no ""no"" votes in Norway.","This is because there is not a single ""yes"" vote.","The ""yes"" vote comes from the population of the two countries and is not representative of the whole population.",There are no elections.,The majority of people support the independence of Norway.,0.26442103534936906
